1,14
21,9
13,23
23,14
16,17
23,9
15,4
21,4
13,20
4,1
17,9
6,18
10,19
19,21
22,9
11,2
11,10
6,7
3,12
2,3
13,9
4,8
14,21
3,5
8,14
22,13
1,19
10,4
1,17
9,6
4,15
6,11
21,11
12,15
3,19
22,6
2,5
3,20
19,15
7,18
17,20
1,2
20,21
13,16
10,2
1,9
19,3
17,22
14,3
22,20
18,1
20,6
8,19
16,18
20,13
12,8
20,10
23,18
9,16
8,21
10,14
13,7
15,8
22,19
5,7
2,15
10,6
11,5
21,16
4,10
17,21
7,2
16,4
2,14
10,3
6,14
20,15
21,18
20,9
8,1
7,3
11,6
8,7
11,15
1,11
13,19
22,1
16,9
19,14
14,17
6,21
16,8
21,15
3,2
1,22
8,17
1,20
18,7
10,23
12,21
9,21
8,9
1,13
12,19
7,19
8,12
22,14
23,15
19,5
11,7
21,22
15,16
7,14
10,12
15,6
20,8
5,17
5,2
5,18
11,12
16,19
23,16
2,9
7,23
14,11
21,12
16,1
19,13
21,20
5,3
12,11
23,21
20,12
10,5
12,16
13,22
21,19
3,8
16,23
5,1
10,22
6,2
3,21
13,2
19,18
21,5
4,14
6,22
9,3
10,15
8,5
12,1
5,19
22,18
15,7
2,8
13,10
15,20
16,10
5,20
7,17
22,16
19,4
15,19
8,20
7,4
11,20
9,11
14,4
6,20
5,9
1,10
23,17
1,16
2,11
23,3
9,20
21,23
23,10
13,18
4,19
11,8
12,2
9,22
15,14
15,2
9,7
15,1
9,1
4,20
4,16
15,23
4,21
1,23
20,3
21,1
6,13
10,16
23,1
17,14
7,8
18,14
5,22
18,16
8,11
18,6
11,21
11,17
12,6
10,21
18,21
6,16
13,15
1,7
5,23
14,9
5,4
6,19
5,6
16,13
2,4
16,20
22,21
17,3
23,19
19,2
3,22
14,20
21,3
16,6
17,15
16,11
17,7
18,12
2,12
3,13
4,18
8,13
23,12
2,7
22,4
15,10
5,16
20,1
4,12
9,2
17,11
12,14
17,5
22,2
20,23
12,13
3,10
13,11
3,6
13,8
11,18
18,23
18,13
3,23
7,20
15,17
13,4
8,15
11,16
11,13
22,15
11,1
20,16
9,23
4,5
1,18
14,5
9,19
5,13
15,22
13,17
20,18
12,20
4,13
5,10
10,1
21,7
1,4
3,14
9,8
19,6
22,12
20,22
13,3
4,17
15,3
14,23
6,3
12,3
16,14
7,22
3,17
22,7
23,22
5,21
18,3
17,10
21,2
14,16
8,16
12,18
20,5
11,3
6,10
8,22
16,21
17,18
16,12
19,17
20,17
6,5
9,17
9,14
21,17
8,3
12,22
19,11
8,4
10,8
21,14
2,13
20,19
4,9
15,9
17,8
12,7
16,3
11,22
13,5
4,11
5,15
8,18
19,20
17,4
3,16
11,4
6,8
17,23
9,18
3,11
10,20
